f_Hz   Yqq   Yqd   Ydq   Ydd
23.0   (0.026261169464154955+0.04095670998536085j)   (-0.002309590972528745+0.000567420496169067j)   (0.006011273581326529-0.009953665225832926j)   (0.0056284178562770034+0.0036175600014675163j)
24.0   (0.02795807637724088+0.04035959169487807j)   (-0.0023618497161666807+0.0009692375236903002j)   (0.005210930235837756-0.011096391669622828j)   (0.005536204935174634+0.004841638862193644j)
25.0   (0.029592779042874738+0.04034187367895579j)   (-0.0023501875673978567+0.0010789592874212981j)   (0.004486670654529397-0.012109954796060383j)   (0.00522189174110899+0.005645419388395021j)
26.0   (0.030852982493143933+0.039656481423768805j)   (-0.0026116108923474437+0.0014262691460256872j)   (0.003884782055280223-0.01335486360532454j)   (0.005353891720691704+0.007370782842105921j)
27.0   (0.03227042008711985+0.03922116809318428j)   (-0.002867672694541301+0.0019561951883312265j)   (0.0032936720938671685-0.014419449744879189j)   (0.005563000567195383+0.00842494706848989j)
28.0   (0.033981505201494414+0.038916018321675065j)   (-0.002837965311521378+0.0021781446235363245j)   (0.0019247865415105575-0.015843447407492457j)   (0.00593110015800592+0.009632210208438961j)
29.0   (0.035697155638015975+0.038450990986086474j)   (-0.0029846128662340825+0.002574227934030811j)   (0.0005185555479448929-0.01703753906637408j)   (0.006098918409564687+0.010819516374417864j)
30.0   (0.03773934514855005+0.0379823933329679j)   (-0.00296356439719046+0.0034100649483521928j)   (-0.000932057304960743-0.018480823455807514j)   (0.006246244112430207+0.01193742536135397j)
31.0   (0.039065828003219935+0.037219809681189216j)   (-0.0027381758312175456+0.0038873343989790825j)   (-0.0030883641296342123-0.01924467777805649j)   (0.006990630239369323+0.01313809392729393j)
32.0   (0.04057560817830402+0.03605792087312936j)   (-0.002715748433421845+0.004414429766023552j)   (-0.00496094819936183-0.020201472585901454j)   (0.007830784935921813+0.01401856679577351j)
33.0   (0.04198108483255178+0.03467645999004704j)   (-0.002839347735424283+0.005459909560250221j)   (-0.006939061657804006-0.02085350922434878j)   (0.008455635338674184+0.014774260051928235j)
35.0   (0.04506501579576873+0.031653335567414696j)   (-0.002062302861533911+0.007296578790670606j)   (-0.012415577682842904-0.02096730065390848j)   (0.010291222365696615+0.016049595197625607j)
36.0   (0.0457851349622858+0.029900966798026955j)   (-0.0015467408128608771+0.007829909645257952j)   (-0.015312798057788676-0.020709705518787546j)   (0.011706893063376349+0.016343379047090316j)
37.0   (0.04676496896645051+0.028174523953363725j)   (-0.0008971715124786527+0.008743522583199043j)   (-0.018177547437343344-0.01931435176386502j)   (0.01271106087837368+0.01657680534653484j)
38.0   (0.04690101010046773+0.02602715390259009j)   (0.00012377774686762283+0.009209426426964118j)   (-0.02088866230960003-0.018185138508890128j)   (0.013777400845638738+0.01630219788932789j)
