f_Hz   Yqq   Yqd   Ydq   Ydd
43.0   (0.229675214593271+0.5005641063692711j)   (-0.5987839479200684+0.22792390337924856j)   (0.5984354587295891-0.2263262195313738j)   (0.23149053978781298+0.5010542672687864j)
44.0   (0.2971975055740143+0.5593621294714318j)   (-0.6563885270678229+0.29456345718061683j)   (0.6560684317789067-0.29386659344690824j)   (0.29796126170747067+0.5597433198293911j)
46.0   (0.5367703167814918+0.684453568841339j)   (-0.7772119718899637+0.5332231914331461j)   (0.7790341036923375-0.5336630629668664j)   (0.5363922089204244+0.6824488769935568j)
47.0   (0.748792732157211+0.7172116482115527j)   (-0.8098169811594601+0.7426853802358123j)   (0.8107021270051269-0.7456428074867923j)   (0.745702121413029+0.7161278726947704j)
49.0   (1.34909318175825+0.42291054695756475j)   (-0.5146704151838832+1.3447030069652417j)   (0.5146284734985588-1.3459666981346727j)   (1.3477991883059255+0.4228957554844529j)
51.0   (1.360697978721174-0.4702490176491323j)   (0.3826097248170755+1.3590501425294443j)   (-0.3802209903742337-1.3576162295593839j)   (1.3622390008838974-0.47251555143036805j)
52.0   (1.0571406667728533-0.7197834277591942j)   (0.6296781045706917+1.0563471803924185j)   (-0.6308220414570075-1.0540121270152618j)   (1.0593368437669035-0.7185579788609275j)
54.0   (0.5603363494700082-0.7576086364315135j)   (0.6693588045720873+0.5577235530060723j)   (-0.6703879062977101-0.5574204350714844j)   (0.5605649720639342-0.7566413399653026j)
56.0   (0.3159715713615651-0.6416079900167422j)   (0.5559649467520099+0.31356505092820974j)   (-0.5559739659080388-0.31310600121213583j)   (0.31638917609909967-0.6415862043119631j)
58.0   (0.19728522805081875-0.535108993500798j)   (0.4523784893675579+0.1945791627603221j)   (-0.45091019755898043-0.19444330845727706j)   (0.19748013059208844-0.5363946052729358j)
60.0   (0.13448348299498883-0.4552441229398746j)   (0.3730194211080308+0.13187178326198284j)   (-0.37267237203087045-0.13175144707751654j)   (0.13460337474132-0.45554107476013755j)
62.0   (0.0976622392493337-0.3951358842340317j)   (0.3136533502048002+0.09509005770441674j)   (-0.3141135054034344-0.09505189590926297j)   (0.09767210047173591-0.39476412070002326j)
64.0   (0.07403614784599621-0.3489091961382251j)   (0.2690566113901687+0.0716938218158734j)   (-0.2693191116841157-0.07144556201058612j)   (0.07422319156084975-0.34869311863988883j)
67.0   (0.052285474735538885-0.29727915376947617j)   (0.21940371735197395+0.04996800673538727j)   (-0.21972206000374594-0.049767623051627456j)   (0.05242526292223058-0.2970184591868476j)
69.0   (0.04278545189028442-0.2706563611988004j)   (0.1945276770077126+0.04032060921620295j)   (-0.19429896966308008-0.040282666819656934j)   (0.042824207598152475-0.27081673154663766j)
72.0   (0.03308224978139966-0.2393088490760314j)   (0.1649788472132072+0.030663011168810983j)   (-0.16483616483887092-0.030674814504578225j)   (0.033081489387752204-0.23941927935225266j)
74.0   (0.028455639826381662-0.22249393019668615j)   (0.1492460065122307+0.026094065101471074j)   (-0.14924296527753747-0.026101396391902478j)   (0.02845152522105976-0.2225017273144388j)
77.0   (0.02328385094879969-0.20163079489386346j)   (0.13001757425063376+0.020929011713970287j)   (-0.13011840306727615-0.02100604002539828j)   (0.023229807713795313-0.2015570485244438j)
79.0   (0.02063604872932087-0.18992910660122095j)   (0.11937402525145624+0.01834374479422964j)   (-0.11953682831324793-0.018395890410248254j)   (0.020595844955037183-0.18981554246758697j)
82.0   (0.01748867520221789-0.17484712674883432j)   (0.10607975223339486+0.015305269060484036j)   (-0.10603726805919197-0.015279141445277497j)   (0.0175062524545111-0.1748788297867053j)
85.0   (0.01510029570016173-0.16223057058441928j)   (0.095042367839664+0.012893291091722454j)   (-0.09490420992421313-0.012925831924211978j)   (0.015083590719721722-0.16231025550596243j)
88.0   (0.013285617004963224-0.1515619950776378j)   (0.08557894432790956+0.011180715620681556j)   (-0.08577796983016192-0.011189412635112672j)   (0.013276339770243133-0.15145186605866992j)
91.0   (0.011819364936377197-0.14217183133462274j)   (0.0778195523836518+0.009584075755819913j)   (-0.07766283002880253-0.009775587909348354j)   (0.011711808434421288-0.1422614370840703j)
94.0   (0.010568385727443024-0.1341434689994732j)   (0.07106172341299186+0.008488467268859748j)   (-0.07105775706938809-0.008520824563468274j)   (0.010550013532605885-0.13415121339461045j)
98.0   (0.009260976894261183-0.124831107073251j)   (0.06350204300591238+0.007320422282879939j)   (-0.06346252158455902-0.007228976914190535j)   (0.009311690671489518-0.1248555390927978j)
101.0   (0.008491206995839183-0.11870965028791675j)   (0.0586490592898132+0.006536063159371074j)   (-0.058508663586481525-0.0064950852086591j)   (0.008514892996271567-0.11877688192129124j)
105.0   (0.0075861025061485805-0.11154861903311254j)   (0.05304150448039338+0.005734682667923837j)   (-0.052921919937282826-0.005571028037056534j)   (0.007669144361070386-0.11159968058609097j)
109.0   (0.006979827015363114-0.10526541708330639j)   (0.048129053348086474+0.005037032743515246j)   (-0.04810045964428488-0.00510107472833118j)   (0.006949813215659662-0.10527568406347579j)
112.0   (0.006511653876178024-0.101037617478482j)   (0.04499701590323448+0.004660754801945683j)   (-0.0449514163495807-0.004626281572211101j)   (0.006527776124181573-0.1010634973555963j)
116.0   (0.0060158598888432465-0.09596167100359786j)   (0.04124292936966955+0.004148997503444184j)   (-0.041230936211666784-0.0041637414893285745j)   (0.006010338522280582-0.09597155383830597j)
120.0   (0.0055805335893849015-0.09141139595912963j)   (0.03796341561074188+0.0037577137951060532j)   (-0.03795927531091029-0.0037396781622360486j)   (0.005589465722088985-0.09141777489053692j)
125.0   (0.0051309497727341745-0.08638767232325437j)   (0.03444304291264343+0.0033814364335208362j)   (-0.03448912810972978-0.0033080053540450044j)   (0.005161218055678955-0.08636397987700759j)
129.0   (0.004811864689815264-0.08274196794164083j)   (0.031945886138342094+0.0030722804499621207j)   (-0.03197997189777438-0.002974452923352842j)   (0.004852838944410063-0.08272213643920691j)
134.0   (0.004556247305318524-0.07864662742928669j)   (0.02930383134929017+0.0027729309698712717j)   (-0.029292274478977434-0.002851621366889714j)   (0.00452416893326665-0.07865522216843465j)
138.0   (0.004308758512877234-0.07564573947712815j)   (0.02734287828783392+0.0025464372987193387j)   (-0.027283695035627033-0.0025701925233665053j)   (0.004300634712671946-0.07567289065063133j)
143.0   (0.0040667921511442435-0.07230540361242953j)   (0.025178803210938933+0.002314571907947081j)   (-0.025254194786931403-0.0023436242091395146j)   (0.004056192338132407-0.07227413808725937j)
