f_Hz   Yqq   Yqd   Ydq   Ydd
26.0   (0.0123016203447804+0.005457833856828791j)   (-0.01752003487729134+0.0084269245989493j)   (0.0175184446391448-0.008426597992266853j)   (0.01227302304247405+0.005492946456195989j)
27.0   (0.012735113033420653+0.005571455504361993j)   (-0.017494879697987322+0.008938798182980134j)   (0.017495860580091643-0.00894016609606942j)   (0.012706903899995379+0.005607473752111435j)
28.0   (0.013188183212193495+0.005665034582892743j)   (-0.017457851575353185+0.00947320293855147j)   (0.017456076212896424-0.009472653317347009j)   (0.013167315755134228+0.00570434567327432j)
29.0   (0.013670016383045441+0.005735133305073602j)   (-0.017394224331850474+0.010027869238564902j)   (0.017395210260899283-0.010029281923912479j)   (0.013649771719538534+0.00577403817422989j)
30.0   (0.014170934280060596+0.005779388281221737j)   (-0.0173131439449745+0.010605243445175012j)   (0.01731122398011829-0.010604409590963721j)   (0.01415855226622094+0.005820636601464211j)
31.0   (0.014700014370833079+0.005794012445620945j)   (-0.017198668435481457+0.011202022110044146j)   (0.017199716046266876-0.01120346664053682j)   (0.01468805680037384+0.005833413427891459j)
32.0   (0.015246288202553027+0.005776113967799947j)   (-0.01706035219697852+0.011820265230163423j)   (0.017058257838773325-0.011819272809208452j)   (0.015242334361285206+0.00581690243093325j)
33.0   (0.015818292185201473+0.005721516568619238j)   (-0.016881041525194845+0.012455231780401517j)   (0.016882223717479525-0.012456773307940695j)   (0.015814210375802776+0.005759061176221143j)
34.0   (0.016403676361690153+0.005627363943623398j)   (-0.01667119469817955+0.013108626543028924j)   (0.016668991428527267-0.013107271822077752j)   (0.016407544304737127+0.005665540040853412j)
35.0   (0.017010176067067773+0.005489240963029857j)   (-0.0164123287358508+0.013773483442229312j)   (0.01641375599492528-0.013775158353628702j)   (0.017012862588020088+0.005522809544679761j)
36.0   (0.017623670704400757+0.005304594861831733j)   (-0.01611667592198389+0.014451615407432571j)   (0.016114215769903958-0.01444973254836639j)   (0.017634248232316796+0.005338468675863454j)
37.0   (0.018251175672301376+0.005069671645272067j)   (-0.015764581464374705+0.015132788699000322j)   (0.01576634451826218-0.015134760579274991j)   (0.018258888141757888+0.005097546279014273j)
39.0   (0.019505229731690523+0.004440572976562425j)   (-0.014915132759976956+0.01649762655113507j)   (0.014917323181681801-0.016500018354495934j)   (0.01951584407631094+0.0044616922033450775j)
40.0   (0.02011969290660872+0.004043896750506638j)   (-0.014416359894961428+0.017170563572186954j)   (0.014413571333035353-0.01716804360409944j)   (0.020137437030812277+0.004065578073351842j)
41.0   (0.02072465027477599+0.003591862839097952j)   (-0.013853532686641428+0.01782064691912184j)   (0.013856268742304714-0.01782373097883086j)   (0.020735711977289673+0.0036058039080349115j)
42.0   (0.02130030155947942+0.0030881313866621503j)   (-0.013252546815574757+0.01845266112160386j)   (0.013249130929592637-0.018449537843703852j)   (0.02131871055903031+0.003103985802412876j)
44.0   (0.022350894994227807+0.001950243831856816j)   (-0.011914015015887652+0.019599028416072098j)   (0.011909731388805227-0.01959470506840641j)   (0.02236859135454162+0.001961262958531712j)
45.0   (0.022801074946463044+0.001347153429417861j)   (-0.011203943542434484+0.020083658666374495j)   (0.011208652109616815-0.020089968735775746j)   (0.02280532071720604+0.0013479103683353j)
47.0   (0.02345483086389049+0.0003337271194180828j)   (-0.00999692624004487+0.02081986033428644j)   (0.010004266515733893-0.02083016770236292j)   (0.02345095772645193+0.00032841735207528j)
48.0   (0.023647451299068027+0.00034699701363865665j)   (-0.009936923119714315+0.02107685711591922j)   (0.009924252008261051-0.02106299922461345j)   (0.023666959475187124+0.0003595883231447816j)
50.0   (0.05680139140211657-0.003953637265761247j)   (-0.005491826821523472+0.05403240405625895j)   (0.005338920502962577-0.054267647997613404j)   (0.056550236564704676-0.0038336318518261605j)
51.0   (0.023821674339709165-0.0110127943414045j)   (0.0016786342897475465+0.021380273105810574j)   (-0.0017052291444475348-0.021351849827608033j)   (0.023848191667728693-0.01098527559700603j)
53.0   (0.02347332599807828-0.009036479631636956j)   (-0.0001082464628828891+0.021087532576075634j)   (9.939884119517668e-05-0.021077107618471796j)   (0.023477857681429615-0.009024728403530071j)
54.0   (0.02320188248609901-0.009492523433809198j)   (0.0004455686919342359+0.020835755259097748j)   (-0.00044003658283095715-0.020842680636624436j)   (0.02318870401291175-0.009494454193462737j)
56.0   (0.022333659447712654-0.01071076303375788j)   (0.0018253558215750652+0.020036521453018374j)   (-0.001821820938751336-0.02004094722467115j)   (0.022321285498755002-0.010707317646360421j)
58.0   (0.021241861524838805-0.011903169586207117j)   (0.003175222588033798+0.019009324247967006j)   (-0.0031724970983179365-0.019012541845293607j)   (0.02123073022782376-0.011895301463496948j)
60.0   (0.020014486866381152-0.012924195918854959j)   (0.004348990640460424+0.0178425749766361j)   (-0.004346735135757077-0.01784524490406798j)   (0.020005113186918236-0.012912425409271967j)
62.0   (0.018715727012648776-0.013736657913844227j)   (0.005310066093935183+0.016601919730509195j)   (-0.0053080497244896874-0.01660411448348705j)   (0.01870964720911801-0.013722293135711744j)
64.0   (0.01739940261585469-0.014339679663581505j)   (0.006057149102789845+0.015340343989691928j)   (-0.006055395246052506-0.015342313106549807j)   (0.017396816995679097-0.014323692359643897j)
66.0   (0.016106941347865673-0.014748987971519531j)   (0.006606316217482227+0.014099921030002875j)   (-0.006604779996059485-0.014101697285058772j)   (0.01610812409648393-0.014732533985359756j)
68.0   (0.014868833233652295-0.01498910659037753j)   (0.006982303710550951+0.012911153426701778j)   (-0.006980949910080337-0.012912856172113803j)   (0.014873495699162242-0.0149734518167419j)
70.0   (0.01370489449380325-0.015088036996682678j)   (0.00721313286288486+0.011794140531320923j)   (-0.007211971703865134-0.011795664081046127j)   (0.013712599912581688-0.015074102828773635j)
72.0   (0.012625908052467036-0.015073267170201009j)   (0.007326363608793502+0.010759802896901944j)   (-0.00732548860538452-0.010761235845364451j)   (0.01263588034652565-0.015061700290149894j)
74.0   (0.011636012969428868-0.014969661379381514j)   (0.007347409389392382+0.00981240509538249j)   (-0.007346541700569558-0.009813679110503869j)   (0.011647442584900412-0.014961109687298574j)
77.0   (0.010313933216699487-0.014693814692738172j)   (0.007250543938177493+0.008551871928113339j)   (-0.007251208885522581-0.008550431382887986j)   (0.010327303788053147-0.014687683858473575j)
79.0   (0.00953713170865371-0.014454591164401035j)   (0.007127498467886958+0.007812640660851394j)   (-0.007128030572975549-0.007811249084622377j)   (0.009549604621539996-0.014451327482824475j)
82.0   (0.008513158543722301-0.014044935405979448j)   (0.0068871144120444365+0.006840498575055717j)   (-0.006886303524112009-0.006841479952235488j)   (0.00852183020316122-0.014046706787105111j)
84.0   (0.007913004540553246-0.013751731190860914j)   (0.006701905614167839+0.006273750163942787j)   (-0.006701201439963729-0.006274989149550117j)   (0.007919624281115013-0.013754417532482936j)
87.0   (0.007120116001710479-0.013298046713970679j)   (0.006404230274170203+0.0055299419648190155j)   (-0.00640468737320261-0.005529244311294208j)   (0.007125169337443207-0.013299577087633352j)
90.0   (0.006441873505779204-0.012841751969443267j)   (0.006099917990532891+0.004895892430242932j)   (-0.006099397370228017-0.0048968129641865366j)   (0.006443943926787556-0.012844550248592249j)
93.0   (0.005856611208960069-0.012392829024310896j)   (0.0057957869561451065+0.004353401941069023j)   (-0.005796106738988088-0.0043529098957199005j)   (0.0058578858458384455-0.01239339949578728j)
96.0   (0.005352157877062038-0.01195766311591231j)   (0.005501206605553656+0.003888302852076774j)   (-0.005500905976174675-0.003888966687243003j)   (0.005352126862526592-0.011958410652974129j)
99.0   (0.004914439783819764-0.011540309819927071j)   (0.005218650280233134+0.003486838114659358j)   (-0.005218964215870329-0.0034874736976524914j)   (0.004913349302040251-0.011540085051550655j)
102.0   (0.004532744276447137-0.011141366124566874j)   (0.004950458260698782+0.0031403062795917354j)   (-0.0049501326418516615-0.003141774010459461j)   (0.004531657404853321-0.011142182663467625j)
105.0   (0.004196910409859848-0.010761692686783068j)   (0.004695605286559362+0.002839316546295146j)   (-0.004696242331483837-0.002838499199695197j)   (0.004197424113995042-0.010761024103717778j)
108.0   (0.003903625390560957-0.01040243026079366j)   (0.004458465037027026+0.0025760924769750162j)   (-0.0044584106397820965-0.0025771308910007657j)   (0.0039023648594984153-0.010403607394219524j)
112.0   (0.003563693915841473-0.009952457573427055j)   (0.004164149409842029+0.0022753192292294605j)   (-0.004164104821182547-0.0022761791675015393j)   (0.003560733700255131-0.00995354773366786j)
115.0   (0.0033411601728902873-0.009635822489318697j)   (0.0039594589274802375+0.002081057132032214j)   (-0.003959897258151523-0.002080420825312239j)   (0.0033374631408420626-0.009634983846662299j)
119.0   (0.0030818682061976212-0.00924025383159206j)   (0.003708072621586517+0.001856210943100948j)   (-0.003708505372117884-0.0018555179705138254j)   (0.0030769797584031594-0.009237147620174208j)
123.0   (0.0028577949451797043-0.008872484354272693j)   (0.0034784941378949432+0.001664029799332959j)   (-0.003478892504006404-0.0016634351762157623j)   (0.0028530486815168546-0.00886648875989387j)
127.0   (0.0026625592850331773-0.00853000878312441j)   (0.0032687491293543437+0.0014987394934556262j)   (-0.0032690643151792576-0.0014980706997006516j)   (0.0026598657901263597-0.008521809245114793j)
131.0   (0.0024916942612305585-0.00821080550242356j)   (0.0030769224444796026+0.001355733330190603j)   (-0.0030771786931888486-0.00135509425553922j)   (0.002491965583256093-0.008201843027695882j)
135.0   (0.002341151398068862-0.007912694376258097j)   (0.0029012170473162514+0.0012313384361699131j)   (-0.00290145320922011-0.0012307745672982362j)   (0.0023443835305133535-0.007904847356618833j)
139.0   (0.0022079583919322942-0.007633767918130945j)   (0.0027400366718742914+0.0011225491557013394j)   (-0.0027402547647621353-0.0011220073992149005j)   (0.0022127183191676114-0.007628411175625747j)
143.0   (0.0020895287991743515-0.007372306979449107j)   (0.0025919369790579996+0.0010270047096872855j)   (-0.002592182280729707-0.0010265561785167158j)   (0.002093976452145169-0.007369690129271132j)
148.0   (0.0019593193087946827-0.007067804723942285j)   (0.0024235855843477956+0.0009231592961994517j)   (-0.0024235592997497515-0.0009236105168291496j)   (0.001961057404173689-0.007067928242020207j)
153.0   (0.001844883477976821-0.006785293650845215j)   (0.002270917794135667+0.0008338442828449623j)   (-0.002271137100074916-0.0008333785313955238j)   (0.0018441593728075918-0.006784077702497159j)
157.0   (0.0017635884773798344-0.006573759353265961j)   (0.0021593575629837406+0.0007710146343892143j)   (-0.0021595791609780373-0.0007705802031005622j)   (0.0017618262638519873-0.006570542524366725j)
162.0   (0.0016728954174885387-0.006325678732425222j)   (0.0020317252992924704+0.000701592927792083j)   (-0.0020316844791522675-0.0007019753669568942j)   (0.0016718315687839368-0.006320516921550177j)
168.0   (0.0015771068203778416-0.006049221576560407j)   (0.0018932112076599154+0.00062968647781161j)   (-0.0018931174213178195-0.0006300919981089663j)   (0.0015793685194065352-0.006043235092188362j)
173.0   (0.0015063287901785083-0.005834815377224804j)   (0.0017885385946019396+0.0005776857815616882j)   (-0.0017886620363279726-0.0005773172984073909j)   (0.0015112071002877214-0.0058299175920186195j)
178.0   (0.0014432243832517204-0.005633650895625145j)   (0.001693078684625206+0.0005315738974529091j)   (-0.0016930544170071155-0.0005320114421148086j)   (0.001448499127913685-0.005632046557887608j)
184.0   (0.0013755145323519709-0.005407631005989969j)   (0.0015886022301114214+0.0004830865272973076j)   (-0.0015885943161970653-0.00048347926811399404j)   (0.0013792068462450192-0.005408423439855502j)
190.0   (0.0013154645925557201-0.005196834271570365j)   (0.0014940767027913308+0.0004407473107778743j)   (-0.001494051678550887-0.0004411258851304703j)   (0.0013170322719346739-0.0051979773335480255j)
196.0   (0.001261945531496116-0.004999678401870606j)   (0.0014083348852014061+0.0004036248961748589j)   (-0.0014082226474066806-0.0004039614657933481j)   (0.0012620661567731696-0.0050000855249669705j)
202.0   (0.0012140313754013974-0.004814790167276392j)   (0.0013301547239521088+0.00037085942317155934j)   (-0.0013300777941494119-0.00037118301488875784j)   (0.0012139783824761164-0.004815041350676393j)
209.0   (0.0011640562742556053-0.004612942915571536j)   (0.0012472720213165189+0.00033734249937382514j)   (-0.0012474702289644209-0.0003370602960734307j)   (0.0011639429333669866-0.004613036613704604j)
215.0   (0.0011259406530113323-0.004450782258984559j)   (0.0011829361288606423+0.00031201112772004337j)   (-0.0011831194571278359-0.0003117126995213997j)   (0.0011242165637976084-0.004450366556449786j)
222.0   (0.001085962646832537-0.00427288884337935j)   (0.0011146529938521673+0.0002857137502092311j)   (-0.0011146407130148723-0.00028599108423076226j)   (0.0010834136004028625-0.004270501300211923j)
229.0   (0.0010499610796074993-0.004105689285317565j)   (0.0010524015088716223+0.00026257274323331027j)   (-0.0010524920073113671-0.00026233651675850996j)   (0.0010494512500007493-0.004100803718290538j)
236.0   (0.001017724321706581-0.003948640274308686j)   (0.0009959051026677452+0.0002419390958297591j)   (-0.0009958893548443328-0.00024226378822609924j)   (0.001020091519066292-0.003944860884013371j)
244.0   (0.000984698367816029-0.003779913948883402j)   (0.0009371895484465696+0.00022118860415813835j)   (-0.0009372132989610799-0.00022148320947888857j)   (0.0009873516786106432-0.003779155105076223j)
252.0   (0.000955215780863951-0.0036216211719973593j)   (0.000884174051445309+0.00020294523400608613j)   (-0.0008841534927692236-0.00020315710172859861j)   (0.0009552651941235376-0.0036215498429691805j)
260.0   (0.0009287940235637586-0.003472698389227704j)   (0.0008360305805009614+0.00018664127329842263j)   (-0.0008360191980950053-0.0001869082722770766j)   (0.0009281374060976865-0.0034700209182020585j)
268.0   (0.0009051510196715185-0.0033322787964017585j)   (0.0007922323503866597+0.0001721435926260977j)   (-0.0007922459637135818-0.00017240620246633328j)   (0.0009069389060055376-0.0033283891681739797j)
276.0   (0.0008837369083985017-0.0031993830980792336j)   (0.0007522324703272688+0.00015919876588045193j)   (-0.0007522609213395147-0.00015942914018371226j)   (0.0008874084921022393-0.003197693759229923j)
285.0   (0.000861829636789896-0.0030581439667621965j)   (0.0007112474739504105+0.0001462101277566194j)   (-0.0007113760084626152-0.00014599234957523213j)   (0.000864380571598685-0.00305851260495107j)
294.0   (0.0008424618863161547-0.0029249641070984746j)   (0.0006742889310032826+0.00013455316494675283j)   (-0.0006742399301790411-0.0001347987332465297j)   (0.0008431398260355653-0.002925474259931869j)
303.0   (0.0008249157419385884-0.0027988020408695443j)   (0.000640409600815075+0.00012415995074180054j)   (-0.0006404936167871881-0.0001240022411529941j)   (0.0008250822336961773-0.002798608243165102j)
313.0   (0.0008076228597348425-0.0026661712649608087j)   (0.0006062872842246849+0.00011381859448352488j)   (-0.0006063978096993278-0.00011364051532788687j)   (0.0008069906382737996-0.0026661948028713083j)
323.0   (0.000792214831532346-0.0025408664061761397j)   (0.000575444282530774+0.00010451808869176843j)   (-0.000575547964435683-0.00010435945538521387j)   (0.0007906976652925674-0.0025385650102969027j)
333.0   (0.000778191729025697-0.0024220054220703423j)   (0.0005473780168314141+9.610416443617864e-05j)   (-0.0005474853820080082-9.593993779367917e-05j)   (0.0007793789608518701-0.0024184576709652375j)
344.0   (0.0007644868453912816-0.0022979411721225675j)   (0.000519386411502719+8.779480362848875e-05j)   (-0.0005194197820808898-8.80117719066993e-05j)   (0.0007667036061151356-0.0022974574127105642j)
355.0   (0.0007523171730563703-0.002180269777020084j)   (0.0004940233902032449+8.038579054932192e-05j)   (-0.0004941048633674752-8.022774595614556e-05j)   (0.0007521094895259775-0.002179358025064579j)
366.0   (0.0007417230905410162-0.0020684728797776895j)   (0.00047105887018655584+7.354397332365786e-05j)   (-0.00047105702071227525-7.371724224423933e-05j)   (0.0007428184760031071-0.002065565252286166j)
377.0   (0.0007320881215699063-0.001961684749528918j)   (0.0004500143288153815+6.740725608225917e-05j)   (-0.00045009800381768-6.727960119557808e-05j)   (0.0007351501624509548-0.0019606100518212593j)
389.0   (0.0007227321330444253-0.0018508099102379403j)   (0.00042927369825716426+6.13163750472137e-05j)   (-0.0004293662386086084-6.118251122636633e-05j)   (0.0007241109071681613-0.0018512922166820705j)
402.0   (0.0007140295794033124-0.0017363791216913316j)   (0.0004090355547392034+5.5259515129900474e-05j)   (-0.00040899678786236515-5.5416258501403754e-05j)   (0.0007140290838826504-0.0017364979202206146j)
415.0   (0.0007065734603998633-0.0016272402423090934j)   (0.0003905979230803828+4.976859035534305e-05j)   (-0.00039069326800456543-4.965542240033274e-05j)   (0.0007059355294935067-0.001627011889679425j)
428.0   (0.0007000924585611901-0.001523073192874502j)   (0.0003740791306003502+4.465714355751264e-05j)   (-0.0003740850923844298-4.481035739338503e-05j)   (0.0007000347038369477-0.0015205604377436508j)
441.0   (0.0006944038539714479-0.0014230279657352254j)   (0.0003589720034378195+4.000133610050201e-05j)   (-0.00035905033221831365-3.9896037866855626e-05j)   (0.0006965658093015885-0.0014219361086624852j)
455.0   (0.0006891946045692196-0.0013198865003808894j)   (0.0003443489846734647+3.538753253731675e-05j)   (-0.00034442990523682034-3.5281738633409424e-05j)   (0.000689254860857967-0.001319157147646048j)
470.0   (0.0006850328463074492-0.001213853487190732j)   (0.00033025623679591124+3.069365794145378e-05j)   (-0.00033024717040791075-3.086052350724545e-05j)   (0.0006869875273345276-0.0012119124500295344j)
485.0   (0.0006812771700678085-0.0011120944107475906j)   (0.0003175057042922634+2.6464033954843917e-05j)   (-0.00031759791276195996-2.6381174805044822e-05j)   (0.0006831000898790319-0.0011124949649471715j)
500.0   (0.0006784857018429522-0.001014105798950353j)   (0.0003061957752942697+2.2445205799846548e-05j)   (-0.0003061579118097681-2.257317311281504e-05j)   (0.0006784821623286155-0.0010141983499446796j)
