f_Hz   Yqq   Yqd   Ydq   Ydd
30.0   (-1.1331367572801035e-06+8.412535033355414e-06j)   (7.227226594567014e-06+9.759198362693114e-06j)   (-1.4014105514178146e-05-3.541582913855533e-05j)   (-4.095735927782094e-05+0.00011550430838553149j)
31.0   (-7.135113083705315e-07+1.0477118039543644e-05j)   (9.512555474618962e-06+1.1586517067797027e-05j)   (-1.56282309517011e-05-3.608946872484497e-05j)   (-3.8491391431438127e-05+0.00011451328518206345j)
32.0   (-2.5259984189863264e-07+1.2466159667272776e-05j)   (1.1779182088040674e-05+1.31912231598549e-05j)   (-1.7264211866067075e-05-3.6691525555598815e-05j)   (-3.616169270209547e-05+0.00011356126012595561j)
33.0   (2.443567152122234e-07+1.437568004047431e-05j)   (1.4020271134513415e-05+1.4577407377622127e-05j)   (-1.8924163787872314e-05-3.722155518331408e-05j)   (-3.395869468214159e-05+0.00011264891396436542j)
34.0   (7.755148831310002e-07+1.6217690815173878e-05j)   (1.6231108167296322e-05+1.578151874980555e-05j)   (-2.059976636709123e-05-3.768031883049783e-05j)   (-3.186888115021659e-05+0.0001117732141250587j)
35.0   (1.3362682164076458e-06+1.798763518325735e-05j)   (1.840694103247572e-05+1.680913440200362e-05j)   (-2.229340920329126e-05-3.806746675490916e-05j)   (-2.9886517312601635e-05+0.00011093466013349377j)
36.0   (1.925419129064599e-06+1.9696358773590324e-05j)   (2.0547764740542876e-05+1.7685750356231703e-05j)   (-2.399671116225378e-05-3.838391996764011e-05j)   (-2.799948742036807e-05+0.00011012981122765653j)
37.0   (2.5387640227318003e-06+2.1338938222303252e-05j)   (2.2647692477325385e-05+1.8407643345723745e-05j)   (-2.5712348181000254e-05-3.862943169737119e-05j)   (-2.6203192437417045e-05+0.00010935825648741507j)
39.0   (3.831869619636279e-06+2.4450290990285732e-05j)   (2.6730102625325074e-05+1.9471153891688205e-05j)   (-2.915821047902979e-05-3.8910830968826116e-05j)   (-2.2853168389085505e-05+0.00010790705961501907j)
40.0   (4.507273241427945e-06+2.5923100154805445e-05j)   (2.871038512978787e-05+1.9828459071341366e-05j)   (-3.0882818380786566e-05-3.894790419864182e-05j)   (-2.128827321222371e-05+0.00010722379925974968j)
41.0   (5.197967107153588e-06+2.733853437022264e-05j)   (3.0649565272258734e-05+2.0076356747815295e-05j)   (-3.260908322156122e-05-3.891629257443567e-05j)   (-1.9793209041973152e-05+0.00010656878736908962j)
42.0   (5.903802614687349e-06+2.8705107105780337e-05j)   (3.2548089096808965e-05+2.0228321829615424e-05j)   (-3.432815342595615e-05-3.881755900674434e-05j)   (-1.8360215040228466e-05+0.00010593790919938372j)
44.0   (7.34974669865723e-06+3.128428065540982e-05j)   (3.622211460393564e-05+2.025629315453864e-05j)   (-3.774732280767882e-05-3.842064725230759e-05j)   (-1.5674055309254985e-05+0.00010474951996512961j)
45.0   (8.086198964911358e-06+3.249997055046459e-05j)   (3.799776552025013e-05+2.014221436672554e-05j)   (-3.9442906163707045e-05-3.8124347347213285e-05j)   (-1.4414631186923818e-05+0.0001041899323715553j)
47.0   (9.579332733595257e-06+3.479615380911185e-05j)   (4.1430120126704314e-05+1.9691027114872147e-05j)   (-4.2787068760509306e-05-3.7342548352840514e-05j)   (-1.204718738789587e-05+0.00010313362163444866j)
48.0   (1.0332704793872427e-05+3.587840819183596e-05j)   (4.308716717104397e-05+1.936054838413719e-05j)   (-4.443011658979961e-05-3.68597128985636e-05j)   (-1.0935713864055252e-05+0.00010263483068338594j)
50.0   (1.1704844094312764e-05+3.78657010397757e-05j)   (4.638532528076252e-05+1.849030803692666e-05j)   (-4.7644980948337885e-05-3.592849114720365e-05j)   (-8.996443933567534e-06+0.00010192173174437316j)
51.0   (1.2596332329051823e-05+3.886803081361781e-05j)   (4.782025937423713e-05+1.798064716395891e-05j)   (-4.9238386010420844e-05-3.5055816168198525e-05j)   (-7.871057098539738e-06+0.00010125831637012394j)
53.0   (1.4094774544220237e-05+4.066568163779994e-05j)   (5.0776277683427104e-05+1.6768221865777794e-05j)   (-5.2317825821221255e-05-3.357214332607747e-05j)   (-6.02973712764327e-06+0.00010043527125476157j)
54.0   (1.4836837091387111e-05+4.151105768182217e-05j)   (5.2196119646900616e-05+1.6083567036146578e-05j)   (-5.381323233537642e-05-3.275061431164602e-05j)   (-5.164308367263998e-06+0.0001000510105707756j)
56.0   (1.6297419084803708e-05+4.309153749653235e-05j)   (5.491741467692329e-05+1.4562165439205535e-05j)   (-5.671009949911583e-05-3.0956244289446913e-05j)   (-3.5475668815837075e-06+9.933782977046797e-05j)
58.0   (1.7719237377991576e-05+4.4540943476484076e-05j)   (5.7479384653543226e-05+1.2855233904528512e-05j)   (-5.947154189688434e-05-2.897064266720427e-05j)   (-2.067743769512333e-06+9.869873831024409e-05j)
60.0   (1.9092521076427547e-05+4.587027432232832e-05j)   (5.988156416273501e-05+1.097266428176532e-05j)   (-6.208738832814592e-05-2.6807061437703564e-05j)   (-7.147993508184105e-07+9.813414385182105e-05j)
